courseCode,courseTitle
CSC301,Java Programming
CSC302,Data Structures
CSC303,Database Systems
CSC304,Operating Systems
CSC305,Computer Networks
CSC306,Software Engineering
CSC307,Artificial Intelligence
CSC308,Web Technologies
CSC309,Mobile Computing
CSC310,Computer Graphics
CSC311,Compiler Design
CSC312,Human Computer Interaction
CSC313,Distributed Systems
CSC314,Information Security
CSC315,Cloud Computing
CSC316,Digital Forensics
CSC317,Machine Learning
CSC318,Data Mining
CSC319,Internet of Things
CSC320,Project Management
